L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
12,72,0.5,8.0,1,-1.4076182766006045,3.128878469815237,1.2593095457453178,4.6008674204511975,1.0
12,72,0.5,8.0,2,-1.4837665085554614,3.091888251261808,1.7087872611804884,4.099874964391565,1.0
12,72,0.5,8.0,3,-1.357537172126544,3.1481495411805014,1.6401525442919755,3.7534730777489402,1.0
12,72,0.5,8.0,4,-1.4517472331698449,3.302634952062202,1.468795660063524,4.057072277889424,1.0
12,72,0.5,8.0,5,-1.225118086714787,2.6545761385184443,1.1802963422134314,3.5171657690025304,1.0
12,72,0.5,8.0,6,-1.1476046843607035,2.5618307281667425,2.364157454114457,3.3567655359617676,1.0
12,36,0.6,8.0,1,-19.644035263991952,-3.7467780812289093,-6.751937269322636,-7.8886251019959674,0.5
12,36,0.6,8.0,2,-20.285121305011945,-9.105257362754285,-10.715420211214198,-10.4412676772267,0.5
12,36,0.6,8.0,3,-20.82556358429789,-14.968873266461404,-13.796407787359433,-9.012514909607626,0.5
12,36,0.6,8.0,4,-20.709407725067273,-14.732895054438847,-2.6342237222881755,-18.283827839385747,0.5
12,36,0.6,8.0,5,-20.7573913955742,-17.551232669612688,-21.545615123499694,-12.088281660457268,0.5
12,36,0.6,8.0,6,-20.607369889448073,-12.429710367965916,-8.279697143187663,-6.651637703531586,0.5
12,40,0.6,8.0,1,-14.028655607977253,-8.567048450851644,-6.8840516813290975,-10.147725528133615,0.5555555555555556
12,40,0.6,8.0,2,-14.067731032897417,-7.377195297327847,-7.387973622627366,-5.68778575223557,0.5555555555555556
12,40,0.6,8.0,3,-13.956623450447704,-9.507490544708926,-13.240157549638543,-8.503092879061791,0.5555555555555556
12,40,0.6,8.0,4,-13.79547305425216,-8.719052732305615,-4.635368075155557,-4.398480026914602,0.5555555555555556
12,40,0.6,8.0,5,-13.980702174166776,-9.627360512929519,-11.473928029714665,-10.51314453151467,0.5555555555555556
12,40,0.6,8.0,6,-14.224735409125325,-8.052827446295016,-3.1776342919992304,-11.689003642666243,0.5555555555555556
12,48,0.6,8.0,1,-6.307316887730443,-3.112008050005347,1.7380675154176888,-3.278572967718604,0.6666666666666666
12,48,0.6,8.0,2,-7.0989614629044056,-3.329835547788831,-2.9660740291526646,-3.1149422080987144,0.6666666666666666
12,48,0.6,8.0,3,-7.046550301864533,-4.325225393991848,-7.841825685120384,-5.312955524480902,0.6666666666666666
12,48,0.6,8.0,4,-6.75853852984049,-2.7852366867544713,-5.6779919835017605,-2.2328520670096528,0.6666666666666666
12,48,0.6,8.0,5,-6.7701398742195265,-2.4723220175285383,-1.6950834069290668,-3.8587288518945,0.6666666666666666
12,48,0.6,8.0,6,-7.089684705107477,-2.812737736065214,-8.273591325391186,-3.061957731434206,0.6666666666666666
12,56,0.6,8.0,1,-3.676601452235063,0.3861613383941166,0.9406552040397635,0.6970168174602389,0.7777777777777778
12,56,0.6,8.0,2,-3.587049050424114,0.7418935916286006,-0.5770124705269571,-1.6624202711673255,0.7777777777777778
12,56,0.6,8.0,3,-3.680607814661903,0.5234581438877158,-1.6189925723545713,0.13228026554111916,0.7777777777777778
12,56,0.6,8.0,4,-3.520168758682207,1.1551527880114532,-3.5344340270093584,-0.17743372723438616,0.7777777777777778
12,56,0.6,8.0,5,-3.6977691818915686,0.682661183731794,-1.1404631885896592,0.6055051078529881,0.7777777777777778
12,56,0.6,8.0,6,-3.7009717476203776,0.6568531026492789,-1.1739308790558873,-0.7155860618843358,0.7777777777777778
