L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
8,25,0.2,6.0,5,-2.7209947309535876,1.4421626460486117,0.5833660393305715,-1.2533001981163463,0.78125
8,25,0.2,6.0,6,-2.7244864999215666,1.4832611308784378,0.6078880574709198,-1.1785179076243832,0.78125
8,25,0.3,6.0,1,-2.65567809116412,1.3033541408341294,1.220810933456209,-2.093833954776614,0.78125
8,25,0.3,6.0,2,-2.6432107916737975,1.3236148861493473,1.2431385013204461,-2.2118242583130394,0.78125
8,25,0.3,6.0,3,-2.553055894858928,1.2947294863224523,0.5516219586780944,-1.9652280694722783,0.78125
8,25,0.3,6.0,4,-2.604841319213551,1.33370971717288,1.3906486422843518,-2.126401562354351,0.78125
8,25,0.3,6.0,5,-2.678246403382876,1.334343204987088,0.28393334194224923,-1.9404749332681352,0.78125
8,25,0.3,6.0,6,-2.646348550813447,1.391154517295964,0.17212195755700294,-1.8865883368245968,0.78125
8,25,0.4,6.0,1,-2.6020990765319874,0.9550435421425238,0.15773264681565252,-0.9543662356029252,0.78125
8,25,0.4,6.0,2,-2.6085867369452154,1.0513405822837711,0.5335156965211818,-1.3456372841881066,0.78125
8,25,0.4,6.0,3,-2.5938026073413596,1.0669050136472247,0.4311375112979448,-1.0353352619879719,0.78125
8,25,0.4,6.0,4,-2.6052476886211227,0.9228751437002274,0.3833020312089303,-1.5866512741511534,0.78125
8,25,0.4,6.0,5,-2.5370183772470676,1.0297834587886772,0.8921041471216785,-0.7688574293476333,0.78125
8,25,0.4,6.0,6,-2.5663772478177407,0.9808461251246247,-0.9786199409553002,-1.51986319096291,0.78125
8,28,0.0,6.0,1,-1.8156642574308315,2.1765357560410914,1.774726357570384,-0.6603564312786159,0.875
8,28,0.0,6.0,2,-1.7883211808896504,2.1149546729175297,1.8217866713756323,-0.40168615251883877,0.875
8,28,0.0,6.0,3,-1.732203435057754,2.170729273936538,2.0371533907622963,-0.7622806688953633,0.875
8,28,0.0,6.0,4,-1.6878979556636549,2.079630986685479,1.8148276194818032,-0.5139338132063209,0.875
8,28,0.0,6.0,5,-1.7445441658228025,2.1238958781053165,1.249078910542535,-0.7995478178575308,0.875
8,28,0.0,6.0,6,-1.781001197607536,2.2738395774063767,1.5184371546342783,-0.22487944285776457,0.875
8,28,0.1,6.0,1,-1.7316635136087108,2.113042298697578,1.8843973108071759,-0.8833683847112741,0.875
8,28,0.1,6.0,2,-1.7699458063572102,2.1687033083690985,1.8874397331095403,-0.37425414078491703,0.875
8,28,0.1,6.0,3,-1.747847014199602,2.1381008287219494,1.5821214938539883,-1.154329474885694,0.875
8,28,0.1,6.0,4,-1.7935050736772986,2.155740074927562,1.6091502542846476,-1.2569303219394252,0.875
8,28,0.1,6.0,5,-1.8154475838227504,2.1068196940751607,1.7894865377488371,-0.26608222647510194,0.875
8,28,0.1,6.0,6,-1.7718813916972806,2.034727425971355,2.5897839649952132,-0.6478224238647173,0.875
8,28,0.2,6.0,1,-1.745497011564288,2.0005286452200033,0.758186856032513,-0.859704814373063,0.875
8,28,0.2,6.0,2,-1.7135749860640233,2.0410997587301254,1.6471591115409379,-0.640907399878101,0.875
8,28,0.2,6.0,3,-1.7816905292475482,2.058693865481226,1.9199863870085636,-1.1995978555955222,0.875
8,28,0.2,6.0,4,-1.7549333599791344,2.0254144025326504,1.1491682501468543,-1.1264946133768707,0.875
8,28,0.2,6.0,5,-1.7916010154711788,2.00232329764236,0.8775964137798397,-1.5586494525894652,0.875
8,28,0.2,6.0,6,-1.6739279925018757,1.9352789937293853,1.7289615177599391,-1.1713228988342272,0.875
8,28,0.3,6.0,1,-1.7634330613027571,1.9876321728116682,1.301369025973547,-0.659590307919917,0.875
8,28,0.3,6.0,2,-1.6728371469557692,1.9525706800265117,1.2268800882822835,-0.7576417223896723,0.875
