L,nup,delta,U,seed,Spipi,m,M_raw,mdelta,Psi_dxy,Psi_dx2y2,chi_pipi,chi_pipi_err,n
12,56,0.1,6.0,6,0.2650576210452299,0.0429031225428314,0.5148374705139768,0.00429031225428314,-0.00028281574735774216,-0.0009473272785212486,0.11587536744719742,0.00611888185350113,0.7777777777777778
12,56,0.2,6.0,1,0.26627969734795387,0.0430019135029634,0.5160229620355609,0.008600382700592681,0.0006066451340808562,-4.4510600145415534e-05,0.11938479148018832,0.013296140083522647,0.7777777777777778
12,56,0.2,6.0,2,0.27418951987710827,0.043635924283043144,0.5236310913965176,0.008727184856608628,0.000719603356696538,2.1933049610268267e-05,0.12372978262445944,0.008809366194105406,0.7777777777777778
12,56,0.2,6.0,3,0.25399325615218105,0.041998119679485274,0.5039774361538233,0.008399623935897054,0.0006479578099790331,-7.218983805584106e-05,0.10776166974300061,0.006659955471484834,0.7777777777777778
12,56,0.2,6.0,4,0.262820251712188,0.04272166472517421,0.5126599767020905,0.008544332945034842,0.0004669901862021693,-0.0002595318078742285,0.11500961996578388,0.008198186420460173,0.7777777777777778
12,56,0.2,6.0,5,0.28265647593517373,0.04430453920304625,0.531654470436555,0.00886090784060925,0.0006864139633470035,-0.00035187807714818283,0.13416462201850446,0.009239438871109387,0.7777777777777778
12,56,0.2,6.0,6,0.2593176401640379,0.04243603357505973,0.5092324029007167,0.008487206715011946,0.0008234586175327321,0.0010532867333151391,0.12336266876038474,0.008468821096562202,0.7777777777777778
12,56,0.3,6.0,1,0.24166818781012217,0.04096646560587037,0.4915975872704444,0.01228993968176111,-0.00034630088066953964,0.0005058454378962857,0.09958515754352616,0.007123128262364324,0.7777777777777778
12,56,0.3,6.0,2,0.2166390706613163,0.03878708535973779,0.4654450243168535,0.011636125607921335,-0.00010417871272882037,-0.00026224802608494483,0.08409314424191917,0.0040818807573507416,0.7777777777777778
12,56,0.3,6.0,3,0.23098139940434317,0.04005043689978293,0.4806052427973952,0.01201513106993488,0.00014974769178818955,0.000609516307253992,0.09432098493362609,0.006376918587172174,0.7777777777777778
12,56,0.3,6.0,4,0.2236284538063321,0.03940780853657158,0.472893702438859,0.011822342560971474,4.118503503418862e-05,2.5344967106951295e-05,0.08927092070105039,0.004234962982434109,0.7777777777777778
12,56,0.3,6.0,5,0.22195491625220437,0.039260076223623826,0.4711209146834859,0.011778022867087148,-0.00022238264785798986,-0.00015454486551293013,0.08740030370254556,0.007658878226884247,0.7777777777777778
12,56,0.3,6.0,6,0.22374488691498096,0.03941806612341085,0.4730167934809302,0.011825419837023255,-0.0006423309341085438,-0.0007629088871862508,0.09095791879013261,0.006121828355990401,0.7777777777777778
12,56,0.4,6.0,1,0.2083982872459425,0.038042217707394806,0.4565066124887377,0.015216887082957924,0.000952621607466233,-0.0022843385734037966,0.07586739396960865,0.004114907824990715,0.7777777777777778
12,56,0.4,6.0,2,0.18912411176431554,0.03624033508747113,0.43488402104965357,0.014496134034988454,-5.526290728298556e-05,-0.002132481483916109,0.06762706327001147,0.0049876145562203445,0.7777777777777778
12,56,0.4,6.0,3,0.21202317838024437,0.038371645562786875,0.4604597467534425,0.015348658225114751,-0.00042285194916690964,-0.002018111320577717,0.08363110193313847,0.00572549475992976,0.7777777777777778
12,56,0.4,6.0,4,0.20181411142776767,0.03743643793037812,0.4492372551645374,0.014974575172151249,-0.0004587176388823923,-0.0005842149910571526,0.07694688712158147,0.004424101895504813,0.7777777777777778
12,56,0.4,6.0,5,0.19440745370437038,0.036743050524363184,0.4409166062923582,0.014697220209745274,0.0003614072955132473,-0.0012287003090335757,0.07251861769843185,0.005424793975179721,0.7777777777777778
12,56,0.4,6.0,6,0.18369436685459412,0.03571631735466474,0.4285958082559769,0.014286526941865897,-0.0005193246439253438,-0.001043800544538435,0.06749974618563592,0.0035373585352346582,0.7777777777777778
12,64,0.0,6.0,1,0.3554868777873746,0.049685600263289914,0.596227203159479,0.0,-0.0005866221876848119,-0.0014861563861778327,0.1819261423237542,0.017026111660587397,0.8888888888888888
12,64,0.0,6.0,2,0.4882631304303674,0.058229856461648764,0.6987582775397851,0.0,0.0006845493308261961,6.503773229581585e-05,0.26843985389183217,0.027073191500398195,0.8888888888888888
12,64,0.0,6.0,3,0.43068544891955945,0.054688857851051306,0.6562662942126157,0.0,-0.00029263308535394997,-9.325824267193849e-05,0.21875470934667457,0.01616968862195887,0.8888888888888888
12,64,0.0,6.0,4,0.5178144507713622,0.05996610447504688,0.7195932537005626,0.0,-6.118431351533586e-05,-0.001031575358229496,0.2929293523764673,0.03502567639388523,0.8888888888888888
12,64,0.0,6.0,5,0.3761789064657524,0.051111187788225786,0.6133342534587094,0.0,-0.0007484298883971033,-9.115617382995007e-05,0.18666083214930843,0.014216325887415095,0.8888888888888888
12,64,0.0,6.0,6,0.4180905276000305,0.05388326680581717,0.646599201669806,0.0,-0.0008446643967184628,-0.0012562250053951994,0.22103532155219957,0.01794180677555981,0.8888888888888888
12,64,0.1,6.0,1,0.39308349950786126,0.05224697622217144,0.6269637146660573,0.0052246976222171445,0.00013937882860000833,0.00019282220674198146,0.21119505400465913,0.02074132212671679,0.8888888888888888
12,64,0.1,6.0,2,0.4662193450099477,0.056900213886653006,0.6828025666398361,0.005690021388665301,-0.0007109864932781778,0.0009870045414660151,0.25523248687610556,0.0222617430501467,0.8888888888888888
12,64,0.1,6.0,3,0.5743833580475257,0.06315673613934213,0.7578808336721056,0.006315673613934213,-0.0002144924250726677,0.0019597322413255963,0.33292440753235836,0.05060871604672027,0.8888888888888888
12,64,0.1,6.0,4,0.41506297117009006,0.053687817465759735,0.6442538095891168,0.005368781746575974,-0.0006098606429345315,0.00021728134805436438,0.21220267200178383,0.02315778969033345,0.8888888888888888
12,64,0.1,6.0,5,0.36417228606041646,0.05028890741259838,0.6034668889511805,0.0050288907412598385,-0.0010474392968688041,0.00018560880718042504,0.18879722597942128,0.01807726800830074,0.8888888888888888
12,64,0.1,6.0,6,0.33933349374934696,0.04854361539359812,0.5825233847231774,0.004854361539359812,0.00022172038554464069,0.000714997162208908,0.17128260437759285,0.01573684010792231,0.8888888888888888
12,64,0.2,6.0,1,0.322230502533221,0.047304458808312855,0.5676535056997543,0.009460891761662572,-0.0017304556853502456,0.0014847725524002782,0.16522382521355333,0.015729422646744873,0.8888888888888888
12,64,0.2,6.0,2,0.38723414080236485,0.05185678333443177,0.6222814000131812,0.010371356666886355,-0.00027989659465956136,0.0004083559834721886,0.19802782956527817,0.021574733594757155,0.8888888888888888
12,64,0.2,6.0,3,0.40244426878072737,0.05286541276234234,0.6343849531481082,0.01057308255246847,-0.0007961122130214436,4.8038417998793235e-05,0.2026921328427226,0.02099229486843197,0.8888888888888888
12,64,0.2,6.0,4,0.3982529602383318,0.05258940537038461,0.6310728644446153,0.010517881074076923,7.686438492212536e-05,0.0007934386267208617,0.19938902651931523,0.017827962610361462,0.8888888888888888
12,64,0.2,6.0,5,0.3066351627932373,0.046145539900740294,0.5537464788088835,0.009229107980148058,-0.00024310780041296058,-0.0009296275741598378,0.14136329390559393,0.015676284141726456,0.8888888888888888
12,64,0.2,6.0,6,0.37285866695365866,0.05088512845900358,0.6106215415080429,0.010177025691800717,-0.0003141590917256036,-0.00016855185380754454,0.18398635528295407,0.015243838217467446,0.8888888888888888
12,64,0.3,6.0,1,0.3977184664683989,0.05255410350219512,0.6306492420263414,0.015766231050658535,0.0005584925118430875,-0.0002540642344690536,0.213400034102125,0.01945719778369598,0.8888888888888888
12,64,0.3,6.0,2,0.45124965478437923,0.05597926543127246,0.6717511851752695,0.01679377962938174,-7.543574327914748e-06,-0.0009905260164640255,0.24753350061108237,0.03207874114017026,0.8888888888888888
12,64,0.3,6.0,3,0.3638517963703265,0.05026677417444892,0.6032012900933871,0.015080032252334676,-0.0006287933413780039,0.0016661359796176006,0.18219115836453714,0.018623672165756347,0.8888888888888888
12,64,0.3,6.0,4,0.41092540554400436,0.05341955306450197,0.6410346367740236,0.01602586591935059,0.0009501201878959394,-0.00045243822186457244,0.21616082555870664,0.025927982770079988,0.8888888888888888
