U,nup,delta,seed,Spipi,M,n
4.0,16,0.4,1,0.22685424055330022,0.4762921798153946,0.8888888888888888
4.0,16,0.4,2,0.2211329759342541,0.4702477814240638,0.8888888888888888
4.0,16,0.4,3,0.22071206797387516,0.4698000297721097,0.8888888888888888
4.0,18,0.0,1,0.35713097091701984,0.5976043598544273,1.0
4.0,18,0.0,2,0.3610647282734758,0.6008866184842826,1.0
4.0,18,0.0,3,0.37135772379834847,0.6093912731557193,1.0
4.0,18,0.1,1,0.3135279620565123,0.559935676713417,1.0
4.0,18,0.1,2,0.33475260757506764,0.5785780911640775,1.0
4.0,18,0.1,3,0.3257872788790256,0.5707777841498612,1.0
4.0,18,0.2,1,0.29181780069194146,0.5402016296642778,1.0
4.0,18,0.2,2,0.31075136530588565,0.5574507738858074,1.0
4.0,18,0.2,3,0.2967326842062902,0.5447317543583173,1.0
4.0,18,0.3,1,0.27064917017848855,0.5202395315414704,1.0
4.0,18,0.3,2,0.2703805618762142,0.5199813091604487,1.0
4.0,18,0.3,3,0.2697508455312294,0.5193754379360169,1.0
4.0,18,0.4,1,0.22439802516019536,0.4737066868434468,1.0
4.0,18,0.4,2,0.2265104774018734,0.47593116876484715,1.0
4.0,18,0.4,3,0.23150134261595706,0.48114586417837685,1.0
