L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.26,2.0,4,-1,1,9.433901205946352,-7.358410679656293,37.79590868759117,2.6141380090889124,81.10781667416248,1.7521317979427384,52.39266006240205,3.1163565484246263,1.0
12,72,0.26,2.0,5,-1,1,9.43173802296531,-7.3696085709641155,37.81351956535348,2.62531560617168,81.39562687941988,1.7825484247984238,52.30011488617042,3.0662406837104244,1.0
12,72,0.26,2.0,6,-1,1,9.424945095156632,-7.3863664198810515,37.79296939465094,2.6217526314152737,82.09606229271131,2.5751590205916286,52.36836394927046,3.0857653350753074,1.0
12,72,0.28,2.0,1,-1,1,9.462556619391314,-7.264787450414326,37.50037704558358,2.554032650817631,80.36728762339915,2.628013992145532,51.699370613388304,3.0635722692175635,1.0
12,72,0.28,2.0,2,-1,1,9.475228980222171,-7.274476777697638,37.49079579835975,2.529165241009774,80.88128900876403,2.910635844831609,51.72558899685316,3.062330455653144,1.0
12,72,0.28,2.0,3,-1,1,9.445399619909844,-7.28280975476963,37.5157305215476,2.5670544793422243,79.1081252072869,1.463773380853025,51.650569527285406,3.0270139945428935,1.0
12,72,0.28,2.0,4,-1,1,9.468782485923269,-7.29998082592594,37.46621024018655,2.506547260763277,80.19529701981895,2.1416078859006986,51.68871230421107,3.035621209939259,1.0
12,72,0.28,2.0,5,-1,1,9.469493798557789,-7.295495001051739,37.506164343521114,2.5526903661985356,79.8654085302206,1.8140446882000547,51.66153045622245,2.9925971653726857,1.0
12,72,0.28,2.0,6,-1,1,9.4844413192676,-7.278156374028379,37.53823010133969,2.552127292746877,80.30981112875875,2.236419639376377,51.64236107640541,3.031408873451421,1.0
12,72,0.22,2.0,1,1,1,9.499871634022446,-7.456383517199299,36.386264980037026,2.97761719302979,68.78679783963393,1.3832150626830244,73.02585817220032,0.7491938675500627,1.0
12,72,0.22,2.0,2,1,1,9.492009091260424,-7.465830861298954,36.3760737857732,2.964823794904985,68.51320754890665,1.0770103083011373,73.88646970663345,1.5429131119051656,1.0
12,72,0.22,2.0,3,1,1,9.477510300581988,-7.453593414636582,36.356632141134085,2.958726344742556,68.38076207749498,1.1392221817024708,72.9334592248554,0.8097297834809133,1.0
12,72,0.22,2.0,4,1,1,9.490892082853213,-7.476224441155525,36.37574062922521,2.9579084686321044,68.93614250909664,1.6208900994939388,73.11574536137168,0.5759564505533548,1.0
12,72,0.22,2.0,5,1,1,9.498472830991918,-7.469218384671902,36.37651591032301,2.9572563878327864,68.9665858471219,1.4252307679461955,73.4532179622287,1.188388751168792,1.0
12,72,0.22,2.0,6,1,1,9.491596214673326,-7.44934652424308,36.359138985455914,2.9621291054912136,68.80657163252629,1.5447062450276774,73.19355859573083,1.0497313098856105,1.0
12,72,0.24,2.0,1,-1,1,9.395873043925636,-7.462390316800781,37.12799891121443,2.2431761051660932,64.81911568858635,1.8187856654418724,61.36119833995806,-2.090019866758207,1.0
12,72,0.24,2.0,2,-1,1,9.439504087500216,-7.43901936910539,37.12648314074759,2.2465878556487,64.61371134538179,1.4502919034404014,61.02462519321462,-2.105313187540829,1.0
12,72,0.24,2.0,3,-1,1,9.425104975902109,-7.425727038280312,37.148608825373366,2.2657836957902804,64.65115470742452,1.3949710607219217,60.287351522348885,-2.682181821098774,1.0
12,72,0.24,2.0,4,-1,1,9.406385207907398,-7.455704803430595,37.128636171610694,2.2822144992311193,64.94391813160604,1.539788547512046,61.0557082989539,-1.862706483382062,1.0
12,72,0.24,2.0,5,-1,1,9.424072911935294,-7.45090845971782,37.13195418587531,2.2284503980991417,64.76730028158163,1.588774444906902,61.58498836601689,-1.2626422970329805,1.0
12,72,0.24,2.0,6,-1,1,9.410136235841186,-7.448179791378439,37.143902473223434,2.263754524246483,64.7566598215374,1.5690741194402773,61.25741092127034,-1.895413127965508,1.0
12,72,0.24,2.0,1,1,1,9.52292893541136,-7.395777640998102,36.081832345803235,2.905560332258476,68.33974413830488,1.438393930561593,72.18231046155512,0.3780580996286474,1.0
12,72,0.24,2.0,2,1,1,9.539702173096316,-7.377670209345071,36.061981480123805,2.887702474594872,67.96485890446101,1.0944826551940587,72.03371292560914,0.1044268383969808,1.0
