folder,L,U,tA,tt,NUP,NDN,E_used,ms_used,E_best,ms_best,gap,best_seed,verdict,n,delta,half,dms
L12n1.000u0tA-0.1000tt0.3N72,12.0,0.0,-0.1,0.3,72.0,72.0,-241.312446,0.0,-241.312446,0.0,-0.0,neel,OK,1.0,0.1,True,0.0
L12n1.000u3.5tA-0.4000tt0.3N72,12.0,3.5,-0.4,0.3,72.0,72.0,-146.534706,0.269,-147.056164,0.1005,0.521458,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.1685
L12n1.000u2tA-0.2000tt0.3N72,12.0,2.0,-0.2,0.3,72.0,72.0,-175.907382,0.176,-175.907382,0.176,-0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u2tA-0.4000tt0.3N72,12.0,2.0,-0.4,0.3,72.0,72.0,-200.875282,0.0293,-200.875282,0.0293,0.0,neel,OK,1.0,0.4,True,0.0
L12n1.000u4tA-0.2000tt0.3N72,12.0,4.0,-0.2,0.3,72.0,72.0,-116.861413,0.6653,-116.861413,0.6653,0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u2tA-0.5000tt0.3N72,12.0,2.0,-0.5,0.3,72.0,72.0,-216.027148,0.0271,-216.027148,0.0271,-0.0,neel,OK,1.0,0.5,True,0.0
L14n1.000u4.5tA-0.2tt0.3N98,14.0,4.5,-0.2,0.3,98.0,98.0,-146.348679,0.7187,-146.348679,0.7187,0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u4.5tA-0.1000tt0.3N72,12.0,4.5,-0.1,0.3,72.0,72.0,-106.325407,0.7319,-106.325407,0.7319,0.0,neel,OK,1.0,0.1,True,0.0
L10n0.660u4.0tA-0.2000tt0.3N33,10.0,4.0,-0.2,0.3,33.0,33.0,-94.465291,0.0141,-94.295997,0.0132,-0.169294,random,OK,0.66,0.2,False,0.0008999999999999998
L10n0.580u4.0tA-0.0000tt0.3N29,10.0,4.0,-0.0,0.3,29.0,29.0,-88.656205,0.0044,-88.815112,0.0031,0.158907,random,WORSE_TRIAL_same_order,0.58,0.0,False,0.0013000000000000004
L12n1.000u3.5tA-0.2000tt0.3N72,12.0,3.5,-0.2,0.3,72.0,72.0,-127.656636,0.5968,-127.668114,0.5421,0.011478,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.2,True,0.05469999999999997
L12n0.847u4tA-0.2000tt0.3N61,12.0,4.0,-0.2,0.3,61.0,61.0,-132.44707,0.1437,-132.498457,0.2871,0.051387,random,WORSE_TRIAL_DIFFERENT_ORDER,0.847,0.2,False,0.14340000000000003
L14n1.000u3.5tA-0.1000tt0.3N98,14.0,3.5,-0.1,0.3,98.0,98.0,-170.829505,0.6259,-170.829505,0.6259,0.0,neel,OK,1.0,0.1,True,0.0
L4n0.500u4.0tA-0.2000tt0.3N4,4.0,4.0,-0.2,0.3,4.0,4.0,-14.247514,0.0,-14.247516,0.0,2e-06,random,OK,0.5,0.2,False,0.0
L10n0.580u4.0tA-0.3000tt0.3N29,10.0,4.0,-0.3,0.3,29.0,29.0,-94.269718,0.0027,-94.073546,0.0003,-0.196172,random,OK,0.58,0.3,False,0.0024000000000000002
L12n1.000u4.5tA-0.2000tt0.3N72,12.0,4.5,-0.2,0.3,72.0,72.0,-107.516133,0.719,-107.516133,0.719,-0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u4tA-0.0000tt0.3N72,12.0,4.0,-0.0,0.3,72.0,72.0,-114.771461,0.6907,-114.771461,0.6907,-0.0,neel,OK,1.0,0.0,True,0.0
L14n1.000u3.0tA-0.1000tt0.3N98,14.0,3.0,-0.1,0.3,98.0,98.0,-186.778913,0.5522,-186.778913,0.5522,-0.0,neel,OK,1.0,0.1,True,0.0
L12n1.000u4tA-0.3000tt0.3N72,12.0,4.0,-0.3,0.3,72.0,72.0,-119.927817,0.6239,-119.927817,0.6239,0.0,neel,OK,1.0,0.3,True,0.0
L12n1.000u0tA-0.2000tt0.3N72,12.0,0.0,-0.2,0.3,72.0,72.0,-247.79132,0.0,-247.79132,0.0,-0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u4.5tA-0.4000tt0.3N72,12.0,4.5,-0.4,0.3,72.0,72.0,-114.485157,0.5799,-114.897154,0.4344,0.411997,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.14549999999999996
L10n0.820u4.0tA-0.4000tt0.3N41,10.0,4.0,-0.4,0.3,41.0,41.0,-104.697443,0.004,-104.71071,0.0586,0.013267,random,WORSE_TRIAL_DIFFERENT_ORDER,0.82,0.4,False,0.054599999999999996
L12n1.000u3.5tA-0.1000tt0.3N72,12.0,3.5,-0.1,0.3,72.0,72.0,-125.497488,0.6265,-125.497488,0.6265,0.0,random,OK,1.0,0.1,True,0.0
L12n1.000u3tA-0.1000tt0.3N72,12.0,3.0,-0.1,0.3,72.0,72.0,-137.190317,0.5543,-137.222977,0.5009,0.03266,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.0534
L14n1.000u0.0tA-0.2tt0.3N98,14.0,0.0,-0.2,0.3,98.0,98.0,-337.3811,0.0,-337.3811,0.0,0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u5tA-0.2000tt0.3N72,12.0,5.0,-0.2,0.3,72.0,72.0,-99.39935,0.7611,-99.39935,0.7611,0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u3tA-0.3000tt0.3N72,12.0,3.0,-0.3,0.3,72.0,72.0,-151.329649,0.0779,-151.329643,0.0779,-6e-06,random,OK,1.0,0.3,True,0.0
L14n1.000u4.0tA-0.3tt0.3N98,14.0,4.0,-0.3,0.3,98.0,98.0,-163.404755,0.6176,-163.572424,0.5223,0.167669,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.3,True,0.09530000000000005
L12n1.000u0tA-0.3000tt0.3N72,12.0,0.0,-0.3,0.3,72.0,72.0,-259.025824,0.0,-259.025824,0.0,-0.0,neel,OK,1.0,0.3,True,0.0
L14n1.000u5.0tA-0.2tt0.3N98,14.0,5.0,-0.2,0.3,98.0,98.0,-135.295503,0.7611,-135.295503,0.7611,-0.0,neel,OK,1.0,0.2,True,0.0
L12n1.000u5tA-0.3000tt0.3N72,12.0,5.0,-0.3,0.3,72.0,72.0,-101.068258,0.7436,-101.068258,0.7436,0.0,neel,OK,1.0,0.3,True,0.0
