L,nup,delta,U,seed,chi_son_full,chi_son_full_err,chi_son_vertex,chi_son_vertex_err,chi_sext_full,chi_sext_full_err,chi_sext_vertex,chi_sext_vertex_err,chi_d_full,chi_d_full_err,chi_d_vertex,chi_d_vertex_err,chi_dxy_full,chi_dxy_full_err,chi_dxy_vertex,chi_dxy_vertex_err,n
8,28,0.0,0.0,3,21.24367733275559,0.0,-1.829203455372408e-14,1.1110886611176929e-16,22.102577286760383,0.0,2.06362704702201e-14,2.625538818400142e-16,119.94661778513262,1.004859173557616e-15,5.1789683652714304e-14,9.73071308992572e-16,106.09654833552858,2.5618982671915017e-15,-1.3855583347321952e-14,1.28070277353316e-15,0.875
8,28,0.0,0.0,4,21.24367733275559,0.0,-1.829203455372408e-14,1.1110886611176929e-16,22.102577286760383,0.0,2.06362704702201e-14,2.625538818400142e-16,119.94661778513262,1.004859173557616e-15,5.1789683652714304e-14,9.73071308992572e-16,106.09654833552858,2.5618982671915017e-15,-1.3855583347321952e-14,1.28070277353316e-15,0.875
8,28,0.0,0.0,5,21.24367733275559,0.0,-1.829203455372408e-14,1.1110886611176929e-16,22.102577286760383,0.0,2.06362704702201e-14,2.625538818400142e-16,119.94661778513262,1.004859173557616e-15,5.1789683652714304e-14,9.73071308992572e-16,106.09654833552858,2.5618982671915017e-15,-1.3855583347321952e-14,1.28070277353316e-15,0.875
8,28,0.0,0.0,6,21.24367733275559,0.0,-1.829203455372408e-14,1.1110886611176929e-16,22.102577286760383,0.0,2.06362704702201e-14,2.625538818400142e-16,119.94661778513262,1.004859173557616e-15,5.1789683652714304e-14,9.73071308992572e-16,106.09654833552858,2.5618982671915017e-15,-1.3855583347321952e-14,1.28070277353316e-15,0.875
8,32,0.0,0.0,1,15.869744154898598,2.7012892057857037e-16,3.514966095963246e-15,1.6624862294477279e-16,22.102577286760383,0.0,1.2271295091181855e-14,4.1943555117475567e-16,68.71734058039435,4.8714946765797396e-14,3.9079850466805505e-15,4.402319749303511e-15,80.60701768712174,7.906923266941436e-14,1.3944401189291965e-15,6.511763991910413e-15,1.0
8,32,0.0,0.0,2,15.869744154898598,2.7012892057857037e-16,3.514966095963246e-15,1.6624862294477279e-16,22.102577286760383,0.0,1.2271295091181855e-14,4.1943555117475567e-16,68.71734058039435,4.8714946765797396e-14,3.9079850466805505e-15,4.402319749303511e-15,80.60701768712174,7.906923266941436e-14,1.3944401189291965e-15,6.511763991910413e-15,1.0
8,32,0.0,0.0,3,15.869744154898598,2.7012892057857037e-16,3.514966095963246e-15,1.6624862294477279e-16,22.102577286760383,0.0,1.2271295091181855e-14,4.1943555117475567e-16,68.71734058039435,4.8714946765797396e-14,3.9079850466805505e-15,4.402319749303511e-15,80.60701768712174,7.906923266941436e-14,1.3944401189291965e-15,6.511763991910413e-15,1.0
8,32,0.0,0.0,4,15.869744154898598,2.7012892057857037e-16,3.514966095963246e-15,1.6624862294477279e-16,22.102577286760383,0.0,1.2271295091181855e-14,4.1943555117475567e-16,68.71734058039435,4.8714946765797396e-14,3.9079850466805505e-15,4.402319749303511e-15,80.60701768712174,7.906923266941436e-14,1.3944401189291965e-15,6.511763991910413e-15,1.0
8,32,0.0,0.0,5,15.869744154898598,2.7012892057857037e-16,3.514966095963246e-15,1.6624862294477279e-16,22.102577286760383,0.0,1.2271295091181855e-14,4.1943555117475567e-16,68.71734058039435,4.8714946765797396e-14,3.9079850466805505e-15,4.402319749303511e-15,80.60701768712174,7.906923266941436e-14,1.3944401189291965e-15,6.511763991910413e-15,1.0
8,32,0.0,0.0,6,15.869744154898598,2.7012892057857037e-16,3.514966095963246e-15,1.6624862294477279e-16,22.102577286760383,0.0,1.2271295091181855e-14,4.1943555117475567e-16,68.71734058039435,4.8714946765797396e-14,3.9079850466805505e-15,4.402319749303511e-15,80.60701768712174,7.906923266941436e-14,1.3944401189291965e-15,6.511763991910413e-15,1.0
8,16,0.0,2.0,1,17.215195711845475,0.0262550732572264,-17.319578152346566,0.049428905511977,37.533814133322906,0.1033105429596125,-9.73655519427396,0.0906961797589887,173.7333194725179,0.5181350449074215,-0.2115178075870117,0.4636081333827872,194.6913033728314,0.4405397477869653,0.4927530268500532,0.2847632101142382,0.5
8,16,0.0,2.0,2,17.21949973116772,0.0309809231894236,-17.226417603683004,0.051730126944,37.42025046638431,0.0793731760675241,-9.75631214826051,0.0686020915085025,174.6181175628658,0.5590019116524956,1.4299308115503726,0.5942529246451551,194.32014548548412,0.4970360326133873,0.6730179380933151,0.2531731114194139,0.5
8,16,0.0,2.0,3,17.267535618467882,0.0251663164823514,-17.220902363458443,0.0392032367569534,37.519692843345894,0.0808070927875195,-9.717148230585744,0.0700362730956945,173.51721684756234,0.589066119929608,0.3891352025505929,0.5684137146642164,194.3345782908019,0.3956480858662932,0.4728096682839395,0.2175697939597478,0.5
8,16,0.0,2.0,4,17.221332437946437,0.0244665528066639,-17.26360321755259,0.0673160282779595,37.41442941509672,0.0756779031470185,-9.796037403095838,0.099454279773573,173.10268515838231,0.5397652516902136,-0.4484279054186891,0.5229804978056929,194.2171585718631,0.5449970133611519,0.2885843979962329,0.2416614873141055,0.5
8,16,0.0,2.0,5,17.25786188084893,0.029010134595088,-17.19233797954279,0.0448932739316166,37.56074606697187,0.1492911217793613,-9.566372654592753,0.1358412748071138,173.30575132585628,0.7968680507767318,0.2384845776190663,0.6766152748059703,193.85237722632343,0.3620682725623859,0.167757432494076,0.271501795470652,0.5
8,16,0.0,2.0,6,17.20260229227629,0.0286345580162855,-17.309481526687616,0.0404536694396504,37.3996466757751,0.0992036171584986,-9.768434803905754,0.0742327150288567,175.0120131687158,0.6153280794420423,1.3407134938813503,0.5311005386920176,194.0630192265916,0.4206111160450241,0.2188522729093021,0.3337120601786582,0.5
8,18,0.0,2.0,1,13.889650265236847,0.0358747748566404,-14.53244377947632,0.0500012231671421,31.143351421403555,0.1351532552825186,-8.667846979386198,0.0941112460089306,153.3918022482797,0.6141830350743677,1.142640655401379,0.5513992236134941,155.0235351798346,0.5699917745592868,-0.0165639339078548,0.4290875850905805,0.5625
8,18,0.0,2.0,2,13.94295612342305,0.034556724111756,-14.537628215764247,0.0471007434978427,31.282353274571268,0.1333676431220438,-8.695377048438058,0.1150266789042349,152.9512595254974,0.5395885692570882,0.6327454023804322,0.5201198152058144,156.03422523784192,0.4380984233421007,0.0208133051189583,0.3893707840635363,0.5625
8,18,0.0,2.0,3,13.940796327778749,0.0334148434988319,-14.444324134137268,0.0411860738223255,31.116054216292167,0.152658672191369,-8.761625503343444,0.1602016787138112,152.36234000593444,0.7085268140194089,0.4276888087068869,0.639251627235165,156.58366101241367,0.9473059827706136,1.2112371258967962,0.9206162788935724,0.5625
8,18,0.0,2.0,4,13.900625447152764,0.0295800621943058,-14.50387250239802,0.0403381395067573,31.19859135664092,0.1149931901156838,-8.603227320891765,0.0992532421249264,151.86515708974525,0.5875825100635389,-0.0736145610008918,0.5203037387630675,155.32922359758527,0.4464187412793935,-0.2025890138339326,0.3330481821079963,0.5625
8,18,0.0,2.0,5,13.863499183310791,0.036939506213357,-14.596986242998856,0.0407681591259338,31.011104804745024,0.1162943506547424,-8.877075964694882,0.0974635015780837,152.18628798970465,0.6165142621814037,0.035713900429874,0.5708345899152407,156.91660889043166,0.6929972706028035,0.9284784683387948,0.5674338992284502,0.5625
8,18,0.0,2.0,6,13.879711436708517,0.0503231771190469,-14.562485739078404,0.0579203497979507,30.93971902570404,0.1441838418406537,-8.918852782959803,0.1045457456836695,153.99746909486936,0.5531769077500561,2.0852939054023834,0.5344216135054558,156.06517628619926,0.4279363956738274,0.5573667339345609,0.3556748053407023,0.5625
8,21,0.0,2.0,1,10.404815797639808,0.033604556716958,-10.950489720599114,0.0348166952468618,22.67217405260825,0.1028367894540169,-5.511471621379158,0.1001409586116163,125.2911082043942,0.670134139379913,1.2896348229497765,0.5921531899377043,100.1851151864252,0.397869918907786,0.4822690497212492,0.3712049557817669,0.65625
