L,U,delta,dtot_raw,net,P_d,P_dxy,dtot_N,son,sext,d,dxy
10,4.5,0.3,6.325218791999999,-4.540000000385902e-07,-0.001981731585004295,-0.0007987077866211306,0.06325218792,-0.08074105,0.487659936,0.223055082,0.026042956
10,4.5,0.4,7.162041937999999,-4.780000004145357e-07,-0.003983411249459904,-0.003107064581244289,0.07162041938,-0.092810149,0.473412463,0.203695933,0.090039048
10,4.5,0.5,4.544470269,-2.6099999983486555e-07,-0.003478785053120622,0.0022719505282896915,0.04544470269,-0.125001946,0.452933583,0.193442765,0.291299339
10,4.5,0.6,1.4076213220000002,-8.400000067743107e-08,0.0015415050119875215,0.0010716307101675821,0.014076213220000001,-0.15772892,0.427278778,0.084465358,0.408718776
10,4.5,0.7,1.0954781240000002,-6.000000027372998e-08,0.00024253516559839133,0.0008808929580879931,0.010954781240000003,-0.154214205,0.398609597,0.076822126,0.396795602
10,4.0,0.1,2.3922107529999996,-1.530000003358012e-07,0.000394261132640199,0.00020270799117505438,0.023922107529999997,-0.070595209,0.457364818,0.204291873,-0.018102497
10,4.0,0.2,4.542133625999999,-3.1600000019449404e-07,-8.606244702461874e-05,-0.0006234407879614919,0.04542133625999999,-0.077755542,0.462718489,0.224538962,-0.001316453
10,4.0,0.3,6.057852573,-4.3899999990770766e-07,-0.0006767784106410202,-0.002801807183053778,0.06057852573,-0.086485276,0.455708848,0.201111457,0.043684414
10,4.0,0.4,4.2607592720000005,-2.599999997521252e-07,-0.00042723744830815434,0.001643723440488301,0.042607592720000004,-0.121709266,0.440612546,0.18675053,0.247875373
10,4.0,0.5,1.2160741040000005,-7.399999961410497e-08,-0.0006758769162625879,0.0009195803235397536,0.012160741040000004,-0.155296461,0.414703102,0.077715562,0.371258339
10,4.0,0.6,0.9645220360000003,-4.999999951571521e-08,-0.0004926478432186965,0.0006673916212706253,0.009645220360000003,-0.151126521,0.384499566,0.070906453,0.36405956
10,4.0,0.7,0.8222835969999998,-3.700000046624741e-08,-7.51611997845894e-05,0.0007584812347472536,0.008222835969999998,-0.146784129,0.358662131,0.059948477,0.352946506
10,5.0,0.1,2.1042650509999996,-9.500000038020762e-08,-0.001073796631535863,0.0001881620003791192,0.021042650509999997,-0.062902914,0.494366269,0.252494326,-0.025298536
10,5.0,0.2,4.151240283000001,-2.6100000005691015e-07,0.00021055725698552764,0.0005528438022578604,0.04151240283000001,-0.065238892,0.493502029,0.240905331,-0.01463161
10,5.0,0.3,6.141941769,-3.950000000418896e-07,-0.0012184227144241876,3.264958581728529e-05,0.06141941769,-0.073533945,0.506640004,0.245386721,0.009707071
10,5.0,0.4,7.767952398000001,-5.319999992758895e-07,-0.0020589348859805126,-0.0008705475222315229,0.07767952398000001,-0.083723245,0.49836862,0.23470705,0.059510332
10,5.0,0.5,5.5357500360000005,-3.239999998294607e-07,0.0003337206292769673,0.0024070153981445796,0.055357500360000006,-0.125795719,0.493168536,0.210639308,0.307601462
10,5.0,0.6,4.663168583000001,-2.389999999574677e-07,-0.001789457145359375,0.0024742518930200956,0.04663168583000001,-0.128352166,0.461973392,0.201516491,0.333579849
10,5.0,0.7,1.4453304479999995,-8.59999998437111e-08,-0.00039434880988705476,0.001228744028630093,0.014453304479999995,-0.160093187,0.437384128,0.088139123,0.440932222
8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
8,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
