apx,U,delta,seed,chi_d,chi_dxy,M,n
1,8.0,0.1,1,1.3481931416377058,0.393125628565723,0.7004438244605348,1.0
1,8.0,0.1,2,1.2784882566937408,0.002151506515916801,0.8228714328692346,1.0
1,8.0,0.1,3,1.4293692481459,0.12632471875414147,0.8361641043947049,1.0
1,8.0,0.2,1,0.9994992434647243,0.4177667611257213,0.6549426686774626,1.0
1,8.0,0.2,2,1.3669801736852274,0.5635088597540786,0.7146268597527322,1.0
1,8.0,0.2,3,1.1396278180516064,0.24185715062639018,0.6356585523450453,1.0
1,8.0,0.3,1,1.1158143977968478,0.8023756182856097,0.5898716554801166,1.0
1,8.0,0.3,2,1.06381451994698,0.9189347690397035,0.6394762302273248,1.0
1,8.0,0.3,3,0.859481967187628,0.9301039116191465,0.6248429875651581,1.0
1,8.0,0.4,1,1.0758372856186085,1.3389533292362157,0.5719021262377957,1.0
1,8.0,0.4,2,0.8482671806035714,1.4328703337479771,0.5535589924888804,1.0
1,8.0,0.4,3,0.8172926591319282,1.2736261554481314,0.5528766585442779,1.0
