L,U,delta,nseed,son,son_err,sext,sext_err,d,d_err,dxy,dxy_err
12,3.0,0.7,6,-5.104993580973582,0.0022577762347369096,2.3491007326277074,0.000806453089894556,0.7047120817802721,0.012361296293138304,2.797719842756859,0.0038284570702606445
12,3.5,0.1,6,-5.410456325719508,0.004651096581975441,4.973202713021209,0.007766945082457095,4.3002489309259575,0.13393499194111122,-1.6636504454788392,0.025913532287146993
12,3.5,0.2,6,-5.417295762759484,0.00466233934405756,4.648675577641501,0.006286771150041925,2.6937663971993273,0.09595983048454744,3.6633098461147515,0.03815870665026352
12,3.5,0.3,6,-5.4494242144732254,0.003660842151394638,4.143704275604475,0.007992375263085766,2.126674269998704,0.05566754154869427,4.877459504217214,0.028278540835199123
12,3.5,0.4,6,-5.371196039741132,0.003996349431548205,3.665804938921275,0.004869090672002528,1.5104300144384142,0.04240559967636606,5.280387658085421,0.007823973053909368
12,3.5,0.5,6,-5.200322033965807,0.00293485874563562,3.265308401056753,0.0025760668186189904,1.1755265950226488,0.027849057281683104,4.531589033680903,0.009320376525552893
12,3.5,0.6,6,-5.003468120469331,0.0019036487921055651,2.926754016216989,0.001882608856248413,1.0360996263832114,0.028862226457123875,3.848016959256563,0.004983842183544413
12,3.5,0.7,6,-4.803849313215432,0.00250628333148154,2.648268580843855,0.0011058979324815345,0.8302235505232077,0.012584332878141717,3.272298030505189,0.004481933400849852
12,4.0,0.1,6,-4.632615938373433,0.004911918321233219,5.303833987808912,0.00405594778252026,4.248183030218487,0.1289545575615811,-1.7220784090678236,0.05516452566989239
12,4.0,0.2,6,-4.672303062958622,0.01754548379316892,4.974861700731956,0.015339045751339044,3.056610403075682,0.10766185308955734,3.869078462900126,0.09390168056013865
12,4.0,0.3,6,-4.780394181385435,0.007973194901943674,4.474111736020608,0.011881278396510661,2.6001759175931523,0.27430475909176477,5.274492696215606,0.046968734124824996
12,4.0,0.4,6,-4.820539670275492,0.0029097798458065805,3.9976065729448362,0.0049508450643151874,1.826710578227827,0.04581241166134518,5.7129674474036625,0.0072032319273948936
12,4.0,0.5,6,-4.744971305104207,0.001772828932012317,3.568764758983267,0.005799769142137794,1.4739336335586124,0.03055330801185053,5.004654321544237,0.004631578542447206
12,4.0,0.6,6,-4.615144189399496,0.0019812252002183524,3.2117746909352634,0.002146628243626112,1.221263723912022,0.011501060453004508,4.317839860900641,0.004245510912507668
12,4.0,0.7,6,-4.475414533246373,0.0023990913938642454,2.9109270600995365,0.003529470498342813,1.0289457473228991,0.04041046633276834,3.7223046950890537,0.0051071303610303155
12,4.5,0.1,6,-3.851590144504178,0.016952315278380967,5.466315855413558,0.017693064490292617,4.3527549878269385,0.1872939822707359,-1.5128407795177357,0.11870653861117275
12,4.5,0.2,6,-4.000467849155295,0.01571405173195456,5.191043619472469,0.013205311351927092,3.4796879183173868,0.12195668370019737,3.9356789011986826,0.0454888186642567
12,4.5,0.3,6,-4.1717428209963066,0.006673863055357918,4.7173063356373275,0.009901426270416238,2.729854618722293,0.13524476148249226,5.383904145618878,0.020547998542074973
12,4.5,0.4,6,-4.286448147860019,0.005426170760885742,4.261460314481,0.00619589280075665,2.098303598299401,0.05760994598161215,5.952387474514932,0.02204882248240627
12,4.5,0.5,6,-4.28172065009744,0.006219329379230774,3.8305764112859078,0.008082117314761597,1.6596033088214635,0.059304359269592086,5.365805706574908,0.007484552737383655
12,4.5,0.6,6,-4.228125886275369,0.004398216447663373,3.455692847427906,0.005919044204934455,1.3169007740791387,0.037548629686303084,4.729694375608047,0.009223335785980826
12,4.5,0.7,6,-4.136858773166034,0.0029725864604144424,3.1458065995447577,0.005899465915691626,1.3225570478970095,0.07266203263074279,4.105458394485164,0.010290084108608651
12,5.0,0.1,6,-3.2431420032544076,0.02149652445465411,5.457440029923831,0.03063546739459594,4.609928133541259,0.35325556544930653,-1.1758708435145715,0.19368138832187679
12,5.0,0.2,6,-3.330159761611686,0.02706181645540459,5.224203323869994,0.026792040427237235,3.7214290215795516,0.44004831366742264,3.4602967286904924,0.10428062983558108
12,5.0,0.3,6,-3.5477097095949257,0.03874054326486501,4.834360207598825,0.03777225887040157,2.9681123868190515,0.09671202228300543,5.341162732484514,0.07692936840588278
12,5.0,0.4,6,-3.7633595582585753,0.009486135550315094,4.416310403859661,0.014648571564578947,2.2317050422840037,0.09049755484585292,6.050891983703186,0.040213429863042
12,5.0,0.5,6,-3.8206686493222577,0.017515647123045253,4.016596064205136,0.014924144715134863,1.8636708367552632,0.0837655536566026,5.63098820347371,0.02409465112465644
12,5.0,0.6,6,-3.8298787488327366,0.0038644798879436905,3.6565755960383637,0.00735797892136296,1.5235324607250949,0.04525418252925896,5.064482644751213,0.016270315977870424
12,5.0,0.7,6,-3.7878923707664547,0.0029685589504953665,3.340411052704079,0.005317815929059233,1.3175949557763642,0.07760350792564195,4.457502602288391,0.006046811088904033
