L,nup,delta,U,seed,channel,R,P,bubble,V
12,36,0.6,6.0,1,sext,6.708204,0.3571313347780428,0.5010168180416424,-0.1438854832635996
12,36,0.6,6.0,1,sext,7.071068,-1.1555232587752402,0.0721437485598038,-1.227667007335044
12,36,0.6,6.0,1,sext,7.211103,0.3576429444993972,0.0239205443174788,0.3337224001819184
12,36,0.6,6.0,1,sext,7.81025,-0.3018344095337198,0.0044700822132802,-0.3063044917470001
12,36,0.6,6.0,1,sext,8.485281,0.2628537441796419,0.0737259993387152,0.1891277448409266
12,36,0.6,6.0,1,d,0.0,160.66239820216796,168.1343908607126,-7.47199265854465
12,36,0.6,6.0,1,d,1.0,5.234214737705202,1.9986544924463088,3.2355602452588936
12,36,0.6,6.0,1,d,1.414214,86.18288230366952,90.4045663466564,-4.221684042986894
12,36,0.6,6.0,1,d,2.0,11.061916750937865,11.941930855222788,-0.880014104284923
12,36,0.6,6.0,1,d,2.236068,5.803659992412536,6.797481503898806,-0.9938215114862698
12,36,0.6,6.0,1,d,2.828427,-9.299665230574016,-8.112010679900736,-1.1876545506732796
12,36,0.6,6.0,1,d,3.0,5.429373770584651,4.854939641958043,0.5744341286266081
12,36,0.6,6.0,1,d,3.162278,-3.628447335949968,-4.580973984676817,0.9525266487268488
12,36,0.6,6.0,1,d,3.605551,-1.7128257982232848,-0.3356652754534049,-1.3771605227698798
12,36,0.6,6.0,1,d,4.0,-0.1769614859039806,-0.2093277612314577,0.0323662753274771
12,36,0.6,6.0,1,d,4.123106,-0.0971822134244503,-0.3164202191772981,0.2192380057528478
12,36,0.6,6.0,1,d,4.242641,-0.9107747140114028,0.0835961881755013,-0.9943709021869044
12,36,0.6,6.0,1,d,4.472136,-1.377391280066824,0.0650469361605836,-1.4424382162274076
12,36,0.6,6.0,1,d,5.0,-0.5708138321821044,0.2862336190747971,-0.8570474512569015
12,36,0.6,6.0,1,d,5.09902,0.0650042799646441,0.3019227900196478,-0.2369185100550036
12,36,0.6,6.0,1,d,5.385165,0.0697868443809547,0.2947887663224792,-0.2250019219415245
12,36,0.6,6.0,1,d,5.656854,0.7982489392113294,0.4301382125929048,0.3681107266184246
12,36,0.6,6.0,1,d,5.830952,0.6970738019361317,0.3445227756450706,0.352551026291061
12,36,0.6,6.0,1,d,6.0,0.712877320932728,0.05415432543288,0.658722995499848
12,36,0.6,6.0,1,d,6.082763,-0.3118103687759485,-0.143194007320331,-0.1686163614556174
12,36,0.6,6.0,1,d,6.324555,0.1142763072647056,0.2370510761885204,-0.1227747689238148
12,36,0.6,6.0,1,d,6.403124,0.8437373079820387,0.0672717142392274,0.7764655937428113
12,36,0.6,6.0,1,d,6.708204,0.8682085729428328,0.1427621913875895,0.7254463815552432
12,36,0.6,6.0,1,d,7.071068,-1.235052248194468,-0.6532312340272359,-0.581821014167232
12,36,0.6,6.0,1,d,7.211103,1.0712851949889717,0.3297695031677564,0.741515691821215
12,36,0.6,6.0,1,d,7.81025,0.8056469159992531,0.1898744065744522,0.6157725094248009
12,36,0.6,6.0,1,d,8.485281,-0.0990399631894191,0.1573437500336606,-0.2563837132230798
12,36,0.6,6.0,1,dxy,0.0,84.57601563648157,89.80288586133062,-5.226870224849051
12,36,0.6,6.0,1,dxy,1.0,2.327997783141625,2.1107091117194647,0.2172886714221604
12,36,0.6,6.0,1,dxy,1.414214,11.156970223192747,15.166979775418914,-4.010009552226167
12,36,0.6,6.0,1,dxy,2.0,-8.069462289467827,-6.885818136737697,-1.18364415273013
12,36,0.6,6.0,1,dxy,2.236068,0.7675877261030283,1.9137244130023716,-1.1461366868993434
12,36,0.6,6.0,1,dxy,2.828427,0.265379776485039,2.239192491552214,-1.9738127150671751
12,36,0.6,6.0,1,dxy,3.0,-1.0727315423303756,1.4933691921090655,-2.5661007344394413
12,36,0.6,6.0,1,dxy,3.162278,5.738922242436575,7.687320963804076,-1.948398721367501
12,36,0.6,6.0,1,dxy,3.605551,3.063907883082149,0.1330746704251106,2.9308332126570384
12,36,0.6,6.0,1,dxy,4.0,1.2336774182135577,-0.3146374742985974,1.548314892512155
12,36,0.6,6.0,1,dxy,4.123106,0.3394381634427407,0.6372881315652161,-0.2978499681224754
12,36,0.6,6.0,1,dxy,4.242641,2.2947514052560067,1.5700388739033195,0.7247125313526872
12,36,0.6,6.0,1,dxy,4.472136,4.553764915217483,3.474451674908148,1.0793132403093355
12,36,0.6,6.0,1,dxy,5.0,-0.6011460746907197,0.4533115444151074,-1.0544576191058272
