L,U,n,delta,seed,qx,qy,kind,S_peak,S_pipi,m_peak,m_pipi
10,0.0,0.5,0.5,4,0.0,1.0,stripe,0.12500000000000003,0.10249346016646846,0.03535533905932738,0.03201459982046761
10,0.0,0.5,0.5,5,0.0,1.0,stripe,0.12500000000000003,0.10249346016646846,0.03535533905932738,0.03201459982046761
10,0.0,0.5,0.5,6,0.0,1.0,stripe,0.12500000000000003,0.10249346016646846,0.03535533905932738,0.03201459982046761
10,0.0,0.5,0.6,1,0.4,1.0,spiral,0.12329756021922327,0.07807632530324017,0.03511375232287533,0.027942141167641425
10,0.0,0.5,0.6,2,0.4,1.0,spiral,0.12329756021922327,0.07807632530324017,0.03511375232287533,0.027942141167641425
10,0.0,0.5,0.6,3,0.4,1.0,spiral,0.12329756021922327,0.07807632530324017,0.03511375232287533,0.027942141167641425
10,0.0,0.5,0.6,4,0.4,1.0,spiral,0.12329756021922327,0.07807632530324017,0.03511375232287533,0.027942141167641425
10,0.0,0.5,0.6,5,0.4,1.0,spiral,0.12329756021922327,0.07807632530324017,0.03511375232287533,0.027942141167641425
10,0.0,0.5,0.6,6,0.4,1.0,spiral,0.12329756021922327,0.07807632530324017,0.03511375232287533,0.027942141167641425
10,0.0,0.5,0.7,1,0.4,1.0,spiral,0.12323837753672465,0.07405253032967782,0.03510532403165147,0.027212594571205045
10,0.0,0.5,0.7,2,0.4,1.0,spiral,0.12323837753672465,0.07405253032967782,0.03510532403165147,0.027212594571205045
10,0.0,0.5,0.7,3,0.4,1.0,spiral,0.12323837753672465,0.07405253032967782,0.03510532403165147,0.027212594571205045
10,0.0,0.5,0.7,4,0.4,1.0,spiral,0.12323837753672465,0.07405253032967782,0.03510532403165147,0.027212594571205045
10,0.0,0.5,0.7,5,0.4,1.0,spiral,0.12323837753672465,0.07405253032967782,0.03510532403165147,0.027212594571205045
10,0.0,0.5,0.7,6,0.4,1.0,spiral,0.12323837753672465,0.07405253032967782,0.03510532403165147,0.027212594571205045
10,0.0,0.56,0.0,1,0.8,1.0,spiral,0.13999999999999996,0.13999999999999993,0.03741657386773941,0.0374165738677394
10,0.0,0.56,0.0,2,0.8,1.0,spiral,0.13999999999999996,0.13999999999999993,0.03741657386773941,0.0374165738677394
10,0.0,0.56,0.0,3,0.8,1.0,spiral,0.13999999999999996,0.13999999999999993,0.03741657386773941,0.0374165738677394
10,0.0,0.56,0.0,4,0.8,1.0,spiral,0.13999999999999996,0.13999999999999993,0.03741657386773941,0.0374165738677394
10,0.0,0.56,0.0,5,0.8,1.0,spiral,0.13999999999999996,0.13999999999999993,0.03741657386773941,0.0374165738677394
10,0.0,0.56,0.0,6,0.8,1.0,spiral,0.13999999999999996,0.13999999999999993,0.03741657386773941,0.0374165738677394
10,0.0,0.56,0.1,1,0.6,1.0,spiral,0.13995037190209997,0.13956755228599785,0.03740994144637224,0.03735874091641712
10,0.0,0.56,0.1,2,0.6,1.0,spiral,0.13995037190209997,0.13956755228599785,0.03740994144637224,0.03735874091641712
10,0.0,0.56,0.1,3,0.6,1.0,spiral,0.13995037190209997,0.13956755228599785,0.03740994144637224,0.03735874091641712
10,0.0,0.56,0.1,4,0.6,1.0,spiral,0.13995037190209997,0.13956755228599785,0.03740994144637224,0.03735874091641712
10,0.0,0.56,0.1,5,0.6,1.0,spiral,0.13995037190209997,0.13956755228599785,0.03740994144637224,0.03735874091641712
10,0.0,0.56,0.1,6,0.6,1.0,spiral,0.13995037190209997,0.13956755228599785,0.03740994144637224,0.03735874091641712
10,0.0,0.56,0.2,1,1.4,1.0,spiral,0.13938371423723908,0.13769441239866603,0.03733412838640258,0.03710719773826448
10,0.0,0.56,0.2,2,1.4,1.0,spiral,0.13938371423723908,0.13769441239866603,0.03733412838640258,0.03710719773826448
10,0.0,0.56,0.2,3,1.4,1.0,spiral,0.13938371423723908,0.13769441239866603,0.03733412838640258,0.03710719773826448
10,0.0,0.56,0.2,4,1.4,1.0,spiral,0.13938371423723908,0.13769441239866603,0.03733412838640258,0.03710719773826448
10,0.0,0.56,0.2,5,1.4,1.0,spiral,0.13938371423723908,0.13769441239866603,0.03733412838640258,0.03710719773826448
10,0.0,0.56,0.2,6,1.4,1.0,spiral,0.13938371423723908,0.13769441239866603,0.03733412838640258,0.03710719773826448
10,0.0,0.56,0.3,1,0.6,1.0,spiral,0.1377138786851144,0.13033302330652285,0.03710982062542399,0.036101665239504234
10,0.0,0.56,0.3,2,0.6,1.0,spiral,0.1377138786851144,0.13033302330652285,0.03710982062542399,0.036101665239504234
10,0.0,0.56,0.3,3,0.6,1.0,spiral,0.1377138786851144,0.13033302330652285,0.03710982062542399,0.036101665239504234
10,0.0,0.56,0.3,4,0.6,1.0,spiral,0.1377138786851144,0.13033302330652285,0.03710982062542399,0.036101665239504234
10,0.0,0.56,0.3,5,0.6,1.0,spiral,0.1377138786851144,0.13033302330652285,0.03710982062542399,0.036101665239504234
10,0.0,0.56,0.3,6,0.6,1.0,spiral,0.1377138786851144,0.13033302330652285,0.03710982062542399,0.036101665239504234
10,0.0,0.56,0.4,1,1.0,1.4,spiral,0.13577934095800473,0.12235161107970607,0.03684824839229196,0.034978795159311314
10,0.0,0.56,0.4,2,1.0,1.4,spiral,0.13577934095800473,0.12235161107970607,0.03684824839229196,0.034978795159311314
10,0.0,0.56,0.4,3,1.0,1.4,spiral,0.13577934095800473,0.12235161107970607,0.03684824839229196,0.034978795159311314
