L,n,U,delta,delta_tot,delta_tot_err,net,snr,corr_dxy,dtot_N
14,0.888,4.0,0.2,10.863195749000004,0.0761750511785091,0.0213578689999999,14.756373029608756,0.678806778197048,0.05542446810714288
14,0.929,4.0,0.2,17.585176506000003,0.0624384867626471,0.0386766400000006,44.49569064086895,-0.6312433826637633,0.08972028829591838
14,0.969,4.0,0.2,14.512203617,0.0530306780502671,0.0075083389999989,43.12437079197595,-0.4055721349782284,0.07404185518877551
14,1.0,4.0,0.2,11.23153439,0.04869816220082,0.0036133320000001,47.45761810318015,-0.0044050937824636,0.0573037468877551
14,1.0,4.0,0.3,14.742307555,0.1317244194193311,0.0062982990000002,46.84433007528287,-0.0143334651258357,0.07521585487244897
14,1.0,4.0,0.4,8.627777404,0.0492882648516312,-0.0062468740000009,43.15803303475084,0.0176351794769226,0.044019272469387756
14,1.0,4.5,0.1,5.277167370000001,0.0311812449508008,-0.0159887059999987,21.20444626151723,0.003612055511794,0.026924323316326534
14,1.0,4.5,0.2,10.480010575999998,0.0441096013809656,0.0005279919999995,44.0414739889181,0.0033818975587866,0.053469441714285706
14,1.0,4.5,0.3,15.247395997999998,0.0904292218418053,-0.0059582979999999,38.67645031333762,-0.0056104885703662,0.07779283672448979
14,1.0,5.0,0.1,4.66047449,0.030635392647685,0.0081662939999997,13.340609392983442,0.0112785687986421,0.023777931071428574
14,1.0,5.0,0.2,9.400076444,0.0288328975224878,-0.0018422940000001,36.76407931981186,0.0064619345222639,0.04795957369387755
14,1.0,5.0,0.3,14.343293978999998,0.0718606687078573,-0.0048086670000009,31.92710094379511,0.0029424289678353,0.07318007132142856
16,1.0,4.0,0.2,15.436295427,0.0810738145735119,-0.0043576229999993,37.14927064477019,-0.0013946897605384,0.06029802901171875
16,1.0,4.0,0.3,20.268205461,0.1285659534969222,0.0248620330000001,40.34558626677407,-0.0155644049198153,0.07917267758203125
