U,nup,delta,Spipi,M,chi_son,chi_sext,chi_d,chi_dxy,n,Mdelta,M0,dM,dMdelta
4.0,14,0.4,0.2400671968899446,0.4899612159895534,-2.5673295586761293,1.08005792266573,0.9054428544102688,-1.9713370020895304,0.7777777777777778,0.1959844863958214,0.4196744206435395,0.0702867953460139,0.02811471813840556
4.0,16,0.0,0.2864493948830222,0.5352073520814947,-1.6776479576791143,1.1229136152495476,0.7869727007881858,-0.1837294857414583,0.8888888888888888,0.0,0.430722229724032,0.10448512235746271,0.0
4.0,16,0.1,0.2494354878427446,0.4994220442854879,-1.6835975388640227,1.1152607085806576,0.7472401993648191,-0.4050311848716228,0.8888888888888888,0.0499422044285488,0.4234773449288935,0.07594469935659443,0.007594469935659443
4.0,16,0.2,0.2537257620038249,0.5037117094931606,-1.6709894101738516,1.114001164066924,0.7460779067533725,-1.0284955858206866,0.8888888888888888,0.1007423418986321,0.4203250640128667,0.0833866454802939,0.01667732909605878
4.0,16,0.3,0.3514501774353337,0.5927569184415705,-1.662828820508022,1.1298035922394862,1.0802714767681725,-0.7106209491673301,0.8888888888888888,0.1778270755324711,0.4358490758338971,0.15690784260767343,0.04707235278230203
4.0,16,0.4,0.2228997614871431,0.4721133303371894,-1.6542012572474556,1.0796526308091337,0.7340648607797898,-0.4857895753411596,0.8888888888888888,0.1888453321348757,0.40724645265811,0.0648668776790794,0.02594675107163176
4.0,18,0.0,0.3631844743296146,0.6026274171648097,-1.1311300310329353,1.2843955650620695,0.8978031838029396,0.1738053886846911,1.0,0.0,0.4426913355960791,0.15993608156873063,0.0
4.0,18,0.1,0.3246892828368685,0.5697638506757853,-1.200464044665,1.221650486257922,0.5950857741547374,1.5158386773020749,1.0,0.0569763850675785,0.438325694329067,0.1314381563467183,0.01314381563467183
4.0,18,0.2,0.2997672834013724,0.5474613859694676,-1.213874723887552,1.161260385421939,0.4880887592909631,0.989384007314785,1.0,0.1094922771938935,0.4289350169497801,0.1185263690196875,0.0237052738039375
4.0,18,0.3,0.270260192528644,0.5198654262126453,-1.1978838666516791,1.101669534577974,0.4150271971535368,0.8985912838728723,1.0,0.1559596278637935,0.4232553563713483,0.096610069841297,0.028983020952389096
4.0,18,0.4,0.2274699483926752,0.4769279065955569,-1.17101972934014,1.0359873851120065,0.2795501070344906,1.3906476141069792,1.0,0.1907711626382227,0.40724645265811,0.0696814539374469,0.027872581574978763
6.0,4,0.0,0.0557104113581535,0.2360296257771847,-29.223623560423324,-37.903725302382554,-2.8297093403040123,2.470854098010415,0.2222222222222222,0.0,0.2357022603955159,0.0003273653816688038,0.0
6.0,4,0.1,0.0556028741746836,0.2358023581742716,-29.337792018085423,-36.473030110853344,-3.74439749433613,0.1261884881663136,0.2222222222222222,0.0235802358174271,0.2357022603955159,0.00010009777875569226,1.0009777875569227e-05
6.0,4,0.2,0.0556198341166269,0.2358384936913177,-30.36469585296939,-36.85979391579279,-4.139266940217419,-2.3437734432069757,0.2222222222222222,0.0471676987382635,0.2357022603955158,0.00013623329580189636,2.7246659160379274e-05
6.0,4,0.3,0.0555617321408317,0.2357142793251444,-31.85085944250851,-36.84269317364712,-3.5295025499999952,-8.96157110839598,0.2222222222222222,0.0707142837975433,0.2357022603955158,1.2018929628598851e-05,3.6056788885796553e-06
6.0,4,0.4,0.0553238022196869,0.2352094556000108,-33.66792168068421,-35.20396745858432,-4.928784056654913,-17.180793950413015,0.2222222222222222,0.0940837822400043,0.2357022603955158,-0.0004928047955050086,-0.00019712191820200344
6.0,6,0.0,0.0840131712747618,0.2898495348971905,-16.423074922776227,-11.472639209561407,-2.959101348052893,0.4023807751966489,0.3333333333333333,0.0,0.2886751345948129,0.0011744003023775873,0.0
6.0,6,0.1,0.0841394351654756,0.2900662442744888,-16.61169894559227,-12.193042975889602,-3.454955204906042,0.0709392379427017,0.3333333333333333,0.0290066244274488,0.2885058445559141,0.0015603997185746898,0.000156039971857469
