L,U,delta,nk,A_odd,M_odd
1.000000000000000000e+01,3.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,7.631655514551721753e-02,1.936063923731739633e+00
1.000000000000000000e+01,3.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,1.473857145733834320e-02,1.998579682715047268e+00
1.000000000000000000e+01,3.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,4.078725205181610997e-02,1.995626548763232533e+00
1.000000000000000000e+01,3.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,7.423781546418917188e-02,1.991781744999543191e+00
1.000000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,3.944329076988405125e-02,1.950976836263755176e+00
1.000000000000000000e+01,3.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,5.207248872661664890e-02,1.980210545051471538e+00
1.000000000000000000e+01,3.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,4.946437374269789522e-02,1.904445231083071066e+00
1.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,5.119705711863264258e-02,1.978371595295912888e+00
1.000000000000000000e+01,4.500000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,2.765273745695678853e-02,1.980415889301118559e+00
1.000000000000000000e+01,4.500000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,8.026020042849447977e-02,1.961951311422714950e+00
1.000000000000000000e+01,4.500000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,6.931714283407754140e-02,1.959214984423622408e+00
1.000000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,7.322590715798132921e-02,1.956907503755527244e+00
1.000000000000000000e+01,4.500000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,5.541572494026150014e-02,1.936190625563712242e+00
1.000000000000000000e+01,4.500000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,4.578991300788428503e-02,1.987054083792913817e+00
1.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.679763474836297649e-02,1.982780985350751202e+00
1.000000000000000000e+01,4.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,3.842706938450578952e-02,1.980793207953939650e+00
1.000000000000000000e+01,4.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,2.631715844498474371e-02,1.995255340460396098e+00
1.000000000000000000e+01,4.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,9.843891410535413056e-02,1.972171554309768871e+00
1.000000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,4.511843794677217884e-02,1.945131044415364663e+00
1.000000000000000000e+01,4.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,4.217870663558487276e-02,1.943100472615849172e+00
1.000000000000000000e+01,4.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,5.750232908999655668e-02,1.981406171720096587e+00
1.000000000000000000e+01,5.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,3.243653833796393549e-02,1.961984937229279691e+00
1.000000000000000000e+01,5.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,2.078776464792745846e-02,1.989706422879207182e+00
1.000000000000000000e+01,5.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,2.606448709885200721e-02,1.972466454036809091e+00
1.000000000000000000e+01,5.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,3.436779093403499741e-02,1.929978300569910266e+00
1.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,6.960625271989791252e-02,1.990844395850535520e+00
1.000000000000000000e+01,5.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,1.332447426981647476e-01,1.936295053735996863e+00
1.000000000000000000e+01,5.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,7.705629404965001761e-02,1.956416112255042750e+00
8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,6.400000000000000000e+01,nan,nan
8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,6.400000000000000000e+01,2.748300298838088004e-02,1.981458691425975305e+00
8.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,6.400000000000000000e+01,4.174652515708200153e-03,1.997697211740345091e+00
