U,nup,delta,mm,m0,chi_d,chi_dxy,dm,mAM,n
6.0,64,0.0,0.05459414560751325,0.0385246883486812,3.2253427026256065,-0.608553838365816,0.01606945725883205,0.0,0.8888888888888888
6.0,64,0.1,0.05413737775335376,0.038153117216331,3.558514480473312,-0.9003415404746754,0.01598426053702276,0.0015984260537022761,0.8888888888888888
6.0,64,0.2,0.050274454772535844,0.0369562316081898,3.4509505854017877,-1.5964105832800852,0.01331822316434604,0.002663644632869208,0.8888888888888888
6.0,64,0.3,0.051394651089383465,0.0362770355696942,2.913898570016092,-0.43947571594519425,0.015117615519689265,0.004535284655906779,0.8888888888888888
6.0,64,0.4,0.041291162164045665,0.0332893207711791,1.8540327325046935,3.186335852062017,0.008001841392866568,0.0032007365571466275,0.8888888888888888
6.0,72,0.0,0.058583829358470035,0.0380362887156365,3.8022089667450047,-1.2238682226391948,0.020547540642833532,0.0,1.0
6.0,72,0.1,0.05723504139550368,0.037554652263564,3.8134085019383916,-0.9953629731181614,0.01968038913193968,0.001968038913193968,1.0
6.0,72,0.2,0.05355077772731745,0.0367683761087647,3.6406110931291646,2.755940360706232,0.016782401618552753,0.0033564803237105508,1.0
6.0,72,0.3,0.05041610914766945,0.0356748742287585,3.2099486786699742,4.2605591062434405,0.014741234918910946,0.004422370475673284,1.0
6.0,72,0.4,0.046183415706772306,0.034358650153483,2.1916242809396174,5.272478549313456,0.011824765553289304,0.004729906221315722,1.0
8.0,36,0.0,0.030142997284098198,0.0294627825494394,-8.852165199665105,4.026705984730353,0.0006802147346587975,0.0,0.5
8.0,36,0.1,0.030211180622384367,0.029386935469142495,-8.742829033416168,2.2407211709502977,0.0008242451532418718,8.242451532418718e-05,0.5
8.0,36,0.2,0.029682782371165783,0.0291349980717828,-9.374163252495288,-0.5366606670542002,0.0005477842993829828,0.00010955685987659655,0.5
8.0,36,0.3,0.029578484974776668,0.0287761939629325,-10.361532701344336,-3.701499421007641,0.0008022910118441681,0.00024068730355325042,0.5
8.0,36,0.4,0.029453946454519566,0.0283303679781198,-9.008035851260193,-8.725390362398665,0.001123578476399767,0.0004494313905599068,0.5
8.0,40,0.0,0.03190894572596074,0.031056499687497,-6.265261083449072,1.0395170039306676,0.0008524460384637354,0.0,0.5555555555555556
8.0,40,0.1,0.03234972212740005,0.0309676136091056,-3.5166500060970276,2.244912913827163,0.0013821085182944524,0.00013821085182944524,0.5555555555555556
8.0,40,0.2,0.0317627557270908,0.030714859295012203,-5.154778058999311,-3.2714961898836035,0.0010478964320785981,0.00020957928641571964,0.5555555555555556
8.0,40,0.3,0.03134462168330008,0.0303338711713847,-4.234540453634273,-4.151274559360755,0.0010107505119153794,0.0003032251535746138,0.5555555555555556
8.0,40,0.4,0.0306109766124693,0.0295312657142231,-3.309215662663277,-2.1757912389263274,0.0010797108982462007,0.0004318843592984803,0.5555555555555556
8.0,48,0.0,0.03728762413882092,0.0340206908719885,-1.8643466139498848,-0.4622426275019742,0.003266933266832417,0.0,0.6666666666666666
8.0,48,0.1,0.03827629317294567,0.0339154269959452,-0.5983178990670398,-3.2148442379821547,0.004360866177000468,0.0004360866177000468,0.6666666666666666
8.0,48,0.2,0.03612041379260523,0.0333133456474967,-1.295332644289894,-1.9466742800793486,0.0028070681451085253,0.000561413629021705,0.6666666666666666
8.0,48,0.3,0.033866369902578415,0.0321157904505505,-3.4271203643320205,-2.1177938093148585,0.0017505794520279172,0.0005251738356083751,0.6666666666666666
8.0,48,0.4,0.03237300856111442,0.0307744154819389,-4.035606686002558,-3.993336978918832,0.0015985930791755192,0.0006394372316702077,0.6666666666666666
8.0,56,0.0,0.0458327362531977,0.0360843918243516,1.232243172045666,-0.7631723762179402,0.009748344428846097,0.0,0.7777777777777778
8.0,56,0.1,0.04468466893668965,0.0358651129078462,-0.23674151282300102,-0.4115311728060076,0.008819556028843455,0.0008819556028843455,0.7777777777777778
8.0,56,0.2,0.04499455544617977,0.0358614000822791,-0.9087082927271126,-1.0124950872375331,0.00913315536390067,0.0018266310727801341,0.7777777777777778
8.0,56,0.3,0.039264482308775404,0.0339169757981854,-0.21640498012147213,-1.8406863462861536,0.005347506510590003,0.0016042519531770008,0.7777777777777778
8.0,56,0.4,0.037846077424686216,0.0325837812268567,-0.5378808742889295,-1.093445884613258,0.005262296197829516,0.0021049184791318066,0.7777777777777778
8.0,64,0.0,0.05594140994452242,0.0385246883486812,2.6309566022252926,-0.7708446122615764,0.01741672159584122,0.0,0.8888888888888888
8.0,64,0.1,0.05500480404049695,0.038153117216331,3.210141630610746,-1.0614429457064778,0.01685168682416595,0.001685168682416595,0.8888888888888888
8.0,64,0.2,0.05257299793840093,0.0369562316081898,1.9371790916037022,-0.5881309892162162,0.015616766330211126,0.0031233532660422253,0.8888888888888888
8.0,64,0.3,0.05394507667956545,0.0362770355696942,2.4352461219255015,1.0114981045415916,0.017668041109871246,0.005300412332961374,0.8888888888888888
8.0,64,0.4,0.043078482621676295,0.0332893207711791,1.3738720929905155,2.7620442909894716,0.009789161850497198,0.00391566474019888,0.8888888888888888
8.0,72,0.0,0.06373776230508572,0.0380362887156365,3.6721457041056804,-1.1195974828553679,0.02570147358944922,0.0,1.0
8.0,72,0.1,0.05978939806519843,0.037554652263564,3.7730570581444223,-0.2834468789766114,0.022234745801634433,0.0022234745801634434,1.0
8.0,72,0.2,0.054476617356331684,0.0367683761087647,3.4471759237343527,1.3640596753502108,0.017708241247566987,0.0035416482495133975,1.0
8.0,72,0.3,0.05558206321210293,0.0356748742287585,2.741783502632714,2.3330634785810718,0.019907188983344433,0.005972156695003329,1.0
8.0,72,0.4,0.04865236434271155,0.034358650153483,2.8100349940022897,3.760385153396586,0.014293714189228549,0.00571748567569142,1.0
